country,name,full_name,tag,id
argentina,Argentina 1Y,Argentina 1-Year,argentina-1-year,950987
argentina,Argentina 3Y,Argentina 3-Year,argentina-3-year-bond-yield,23958
argentina,Argentina 5Y,Argentina 5 Year,argentina-5-year,1141783
argentina,Argentina 9Y,Argentina 9-Year,argentina-9-year,1052503
australia,Australia 30Y,Australia 30-Year,australia-30-year,1052473
australia,Australia 20Y,Australia 20-Year,australia-20-year,1052472
australia,Australia 15Y,Australia 15-Year,australia-15-year-bond-yield,23880
australia,Australia 12Y,Australia 12-Year,australia-12-year-bond-yield,23879
australia,Australia 10Y,Australia 10-Year,australia-10-year-bond-yield,23878
australia,Australia 8Y,Australia 8-Year,australia-8-year-bond-yield,23876
australia,Australia 9Y,Australia 9-Year,australia-9-year-bond-yield,23877
australia,Australia 6Y,Australia 6-Year,australia-6-year-bond-yield,23874
australia,Australia 5Y,Australia 5-Year,australia-5-year-bond-yield,23873
australia,Australia 4Y,Australia 4-Year,australia-4-year-bond-yield,23872
australia,Australia 3Y,Australia 3-Year,australia-3-year-bond-yield,23871
australia,Australia 2Y,Australia 2-Year,australia-2-year-bond-yield,23870
australia,Australia 1Y,Australia 1-Year,australia-1-year-bond-yield,23869
australia,Australia 7Y,Australia 7-Year,australia-7-year-bond-yield,23875
austria,Austria 10Y,Austria 10-Year,austria-10-year-bond-yield,23862
austria,Austria 50Y,Austria 50-Year,austria-50-year-bond-yield,23865
austria,Austria 30Y,Austria 30-Year,austria-30-year,1052399
austria,Austria 25Y,Austria 25-Year,austria-25-year-bond-yield,23864
austria,Austria 20Y,Austria 20-Year,austria-9-year-bond-yield,23861
austria,Austria 15Y,Austria 15-Year,austria-15-year-bond-yield,23863
austria,Austria 9Y,Austria 9-Year,austria-9-year,1052471
austria,Austria 3Y,Austria 3-Year,austria-3-year-bond-yield,23855
austria,Austria 7Y,Austria 7-Year,austria-7-year-bond-yield,23859
austria,Austria 6Y,Austria 6-Year,austria-6-year-bond-yield,23858
austria,Austria 5Y,Austria 5-Year,austria-5-year-bond-yield,23857
austria,Austria 4Y,Austria 4-Year,austria-4-year-bond-yield,23856
austria,Austria 2Y,Austria 2-Year,austria-2-year-bond-yield,23854
austria,Austria 1Y,Austria 1-Year,austria-1-year-bond-yield,23853
austria,Austria 8Y,Austria 8-Year,austria-8-year-bond-yield,23860
bahrain,Bahrain 3M,Bahrain 3-Month,bahrain-3-month,1052506
bahrain,Bahrain 6M,Bahrain 6-Month,bahrain-6-month,1052508
bahrain,Bahrain 9M,Bahrain 9-Month,bahrain-9-month,1052509
bahrain,Bahrain 1Y,Bahrain 1-Year,bahrain-1-year,1052504
