country,name,full_name,symbol,tag,id,issuer,isin,asset_class,underlying
france,SG ZT CAC 40 x7 Short 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  CAC 40 x7 Short 31Dec99,FR0012143873,sg-zt-cac-40-x7-short-31dec99,1117664,Societe Generale Effekten GMBH,FR0012143873,index,
france,BNP Gold 31Dec99,BNP Paribas Arbitrage Issuance BV ZT Gold 31Dec99,NL0006454928,bnp-gold-31dec99,1117224,BNP Paribas Issuance BV,NL0006454928,commodity,XAU/USD
france,ING Put 1.183 EUR EUR/USD 31Dec99,ING BANK N.V. Put 1.183 EUR EUR/USD 31Dec99,NL0012824353,ing-put-1.183-eur-eur-usd-31dec99,1117753,Ing Bank NV,NL0012824353,currency,EUR/USD
france,BNP Call 30 Worldline SA 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 30 EUR Worldline SA 31Dec99,FRBNPP00NEZ3,bnp-call-30-worldline-sa-31dec99,1116837,BNP Paribas Issuance BV,FRBNPP00NEZ3,equity,Worldline SA
france,BNP Call 955 USD GOLD 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 955 USD GOLD 31Dec99,FR0012950764,bnp-call-955-usd-gold-31dec99,1117015,BNP Paribas Issuance BV,FR0012950764,commodity,XAU/USD
france,SG ZT GOLD X10 LEV 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  GOLD X10 LEV 31Dec99,FR0011815034,sg-zt-gold-x10-lev-31dec99,1117384,Societe Generale Effekten GMBH,FR0011815034,commodity,
france,BNP Call 78 EUR ESSILOR 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 78 EUR ESSILOR 31Dec99,FR0012926574,bnp-call-78-eur-essilor-31dec99,1116984,BNP Paribas Issuance BV,FR0012926574,equity,EssilorLuxottica
france,BNP Call 1200 USD GOLD 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 1200 USD GOLD 31Dec99,FRBNPP00RJA6,bnp-call-1200-usd-gold-31dec99,1116738,BNP Paribas Issuance BV,FRBNPP00RJA6,commodity,XAU/USD
france,BNP Call 58.3 EUR SEB 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 58.3 EUR SEB 31Dec99,FR0012684876,bnp-call-58.3-eur-seb-31dec99,1116936,BNP Paribas Issuance BV,FR0012684876,equity,Groupe SEB
france,BNP Call 97.34 AIR LIQUIDE 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 97.34 EUR AIR LIQUIDE 31Dec99,FRBNPP009VT9,bnp-call-97.34-air-liquide-31dec99,1117017,BNP Paribas Issuance BV,FRBNPP009VT9,equity,Air Liquide
france,BNP Call 960 USD GOLD 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 960 USD GOLD 31Dec99,FR0012598407,bnp-call-960-usd-gold-31dec99,1117016,BNP Paribas Issuance BV,FR0012598407,commodity,XAU/USD
france,BNP Call 59.58 SANOFIAVENTIS,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 59.58 EUR SANOFI-AVENTIS 31Dec99,FRBNPP00L2Y4,bnp-call-59.58-sanofiaventis,1116940,BNP Paribas Issuance BV,FRBNPP00L2Y4,equity,Sanofi
france,BNP Call 1014.67 USD PALLADIUM,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 1014.67 USD PALLADIUM 31Dec99,FRBNPP00RLA2,bnp-call-1014.67-usd-palladium,1116698,BNP Paribas Issuance BV,FRBNPP00RLA2,commodity,XPD/USD
france,BNP Put 3637.44 USD SP 500 31Dec99,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 3637.44 USD S AND P 500 31Dec99,FRBNPP00HYT6,bnp-put-3637.44-usd-sp-500-31dec99,1117478,BNP Paribas Issuance BV,FRBNPP00HYT6,index,S&P 500
france,SG ZT .VIE5L INDEX 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  .VIE5L INDEX 31Dec99,FR0011422393,sg-zt-.vie5l-index-31dec99,1117656,Societe Generale Effekten GMBH,FR0011422393,index,
france,Commerz VIX CBOE-10/16 31Dec992,COMMERZBANK AG ZT  VIX FUTURE CBOE-10/16 31Dec99,DE000CD9DKV2,commerz-vix-cboe-10-16-31dec992,1117606,Commerzbank AG,DE000CD9DKV2,index,
france,BNP Put 1.38 USD EUR/USD 31Dec994,BNP PARIBAS ARBITRAGE ISSUANCE BV Put 1.38 USD EUR/USD 31Dec99,FRBNPP00F804,bnp-put-1.38-usd-eur-usd-31dec994,1117740,BNP Paribas Issuance B.V,FRBNPP00F804,currency,EUR/USD
france,COMMERZBANK USDGBP 31Dec99,COMMERZBANK AG ZT  USDGBP EXCHANGE RATE 31Dec99,DE000CD9E056,commerzbank-usdgbp-31dec99,1117751,Commerzbank AG,DE000CD9E056,currency,GBP/USD
france,SG ZT WTI Fut 5X Lev Ind 31Dec99,SG ISSUER ZT  WTI Fut 5X Lev Ind 31Dec99,FR0013112786,sg-zt-wti-fut-5x-lev-ind-31dec99,1117374,SG Issuer SA,FR0013112786,commodity,SGI Smart WTI Long Invest
france,SG ZT WTI Fut 5X ShLev Ind 31Dec99,SG ISSUER ZT  WTI Fut 5X ShLev Ind 31Dec99,FR0013112778,sg-zt-wti-fut-5x-shlev-ind-31dec99,1117375,SG Issuer SA,FR0013112778,commodity,
france,SG Call 11.44 EUR ORANGE 31Dec99,SOCIETE GENERALE Call 11.44 EUR ORANGE 31Dec99,FR0012791424,sg-call-11.44-eur-orange-31dec99,1117376,Societe Generale SA,FR0012791424,equity,Orange
france,SG Call 16.64 EUR AXA 31Dec99,SOCIETE GENERALE Call 16.64 EUR AXA 31Dec99,FR0012500965,sg-call-16.64-eur-axa-31dec99,1117377,Societe Generale SA,FR0012500965,equity,AXA
france,SG Call WTI CRUDE 31Dec99,Societe Generale Effekten GMBH Call   WTI CRUDE 31Dec99,FR0010583914,sg-call-wti-crude-31dec99,1117378,Societe Generale Effekten GMBH,FR0010583914,commodity,
france,SG Call Grandes Valeurs 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH Call  Investir 10 - Grandes Valeurs 31Dec99,FR0011630474,sg-call-grandes-valeurs-31dec99,1117649,Societe Generale Effekten GMBH,FR0011630474,index,
france,ING Call 10.2 EUR PEUGEOT 31Dec99,ING BANK N.V. Call 10.2 EUR PEUGEOT 31Dec99,NL0010601951,ing-call-10.2-eur-peugeot-31dec99,1117321,Ing Bank NV,NL0010601951,equity,Peugeot
france,BNP Call 39.53 SOITEC SILICON,BNP PARIBAS ARBITRAGE ISSUANCE BV Call 39.53 EUR SOITEC SILICON 31Dec99,FRBNPP00RK17,bnp-call-39.53-soitec-silicon,1116876,BNP Paribas Issuance BV,FRBNPP00RK17,equity,Soitec
france,COMMERZBANK Call AIR FRANCE KLM,COMMERZBANK AG Call AIR FRANCE KLM 31Dec99,DE000CJ3VYN9,commerzbank-call-air-france-klm,1117237,Commerzbank AG,DE000CJ3VYN9,equity,Air France KLM
france,BNP METXPPIOPENB,BNP METXPPIOPENB,NL0006191470,bnp-metxppiopenb,1155076,BNP Paribas Issuance BV,NL0006191470,commodity,
