title,country,id,name,full_name,tag,currency,group
Real Time Streaming Futures Quotes,,8830,Gold,Gold Futures,gold,USD,metals
Real Time Streaming Futures Quotes,united states,8831,Copper,Copper Futures,copper,USD,metals
Real Time Streaming Futures Quotes,,8836,Silver,Silver Futures,silver,USD,metals
Real Time Streaming Futures Quotes,united states,8883,Palladium,Palladium Futures,palladium,USD,metals
Real Time Streaming Futures Quotes,united states,8910,Platinum,Platinum Futures,platinum,USD,metals
Real Time Streaming Futures Quotes,united kingdom,49768,Aluminum,Aluminum Futures,aluminum,USD,metals
Real Time Streaming Futures Quotes,united kingdom,956470,Zinc,Zinc Futures,zinc?cid=956470,USD,metals
Real Time Streaming Futures Quotes,united kingdom,959207,Lead,Lead Futures,lead?cid=959207,USD,metals
Real Time Streaming Futures Quotes,united kingdom,959208,Nickel,Nickel Futures,nickel?cid=959208,USD,metals
Real Time Streaming Futures Quotes,united kingdom,959209,Tin,Tin Futures,tin,USD,metals
Real Time Streaming Futures Quotes,united kingdom,959211,Copper,Copper Futures,copper?cid=959211,USD,metals
EUREX Futures Market Quotes,euro zone,40818,Xetra-Gold,Xetra-Gold Futures,refined-gold?cid=40818,EUR,metals
MCX Futures Market Quotes,india,49767,MCX Aluminum Mini,Aluminum Mini Futures,aluminium-mini,INR,metals
MCX Futures Market Quotes,india,40015,MCX Aluminum,Aluminum Futures,aluminum?cid=40015,INR,metals
MCX Futures Market Quotes,india,49771,MCX Copper,Copper Futures,copper?cid=49771,INR,metals
MCX Futures Market Quotes,india,49772,MCX Copper Mini,Copper Mini Futures,copper-mini,INR,metals
MCX Futures Market Quotes,india,49776,MCX Gold 1 Kg,Gold 1 Kg,refined-gold?cid=49776,INR,metals
MCX Futures Market Quotes,india,49777,MCX Gold Guinea,Gold Guinea Futures,gold-guinea,INR,metals
MCX Futures Market Quotes,india,49778,MCX Gold Mini,Gold Mini Futures,gold-mini,INR,metals
MCX Futures Market Quotes,india,49779,MCX Gold Petal,Gold Petal Futures,gold-petal,INR,metals
MCX Futures Market Quotes,india,49780,MCX Gold Petal Del,Gold Petal (New Delhi) Futures,goldptldel,INR,metals
MCX Futures Market Quotes,india,49784,MCX Lead,Lead Futures,lead,INR,metals
