name,tag,symbol,id,currency,status
Bitcoin,bitcoin,BTC,1057391,USD,available
Ethereum,ethereum,ETH,1061443,USD,available
XRP,ripple,XRP,1057392,USD,available
Bitcoin Cash,bitcoin-cash,BCH,1061410,USD,available
Tether,tether,USDT,1061453,USD,available
Litecoin,litecoin,LTC,1061445,USD,available
EOS,eos,EOS,1061444,USD,available
Binance Coin,binance-coin,BNB,1061448,USD,available
Bitcoin SV,bitcoin-sv,BSV,1099037,USD,available
Stellar,stellar,XLM,1061451,USD,available
TRON,tron,TRX,1061450,USD,available
Cardano,cardano,ADA,1062537,USD,available
Monero,monero,XMR,1061467,USD,available
UNUS SED LEO,unus-sed-leo,LEO,1138417,USD,available
Chainlink,chainlink,LINK,1061794,USD,available
Tezos,tezos,XTZ,1061796,USD,available
NEO,neo,NEO,1061409,USD,available
Huobi Token,huobi-token,HT,1094137,USD,available
IOTA,iota,MIOTA,1061449,USD,available
Cosmos,cosmos,ATOM,1130959,USD,available
Dash,dash,DASH,1061456,USD,available
Maker,maker,MKR,1061538,USD,available
Ethereum Classic,ethereum-classic,ETC,1057275,USD,available
Ontology,ontology,ONT,1075377,USD,available
USD Coin,usd-coin,USDC,1114630,USD,available
Crypto.com Coin,crypto-com-coin,CRO,1117862,USD,available
NEM,nem,XEM,1061476,USD,available
MINDOL,mindol,MIN,1155633,USD,available
VeChain,vechain,VET,1061537,USD,available
Basic Attention Token,basic-attention-token,BAT,1061774,USD,available
Dogecoin,dogecoin,DOGE,1061477,USD,available
Zcash,zcash,ZEC,1061465,USD,available
INO COIN,ino-coin,INO,1153116,USD,available
Paxos Standard,paxos-standard,PAX,1115718,USD,available
Insight Chain,insight-chain,INB,1117724,USD,available
PRIZM,prizm,PZM,1066683,USD,available
Decred,decred,DCR,1066626,USD,available
HedgeTrade,hedgetrade,HEDG,1141742,USD,available
Centrality,centrality,CENNZ,1094126,USD,available
Qtum,qtum,QTUM,1061464,USD,available
TrueUSD,trueusd,TUSD,1094123,USD,available
Synthetix Network Token,synthetix-network-token,SNX,1155630,USD,available
0x,0x,ZRX,1061803,USD,available
Holo,holo,HOT,1081646,USD,available
ThoreCoin,thorecoin,THR,1081901,USD,available
Bitcoin Gold,bitcoin-gold,BTG,1061452,USD,available
ThoreNext,thorenext,THX,1097784,USD,available
V Systems,v-systems,VSYS,1141873,USD,available
Augur,augur,REP,1061481,USD,available
OmiseGO,omisego,OMG,1061446,USD,available
Nano,nano,NANO,1066647,USD,available
Ravencoin,ravencoin,RVN,1094142,USD,available
ABBC Coin,abbc-coin,ABBC,1123468,USD,available
Algorand,algorand,ALGO,1142181,USD,available
ZB,zb,ZB,1153122,USD,available
Mixin,mixin,XIN,1071795,USD,available
Cryptonex,cryptonex,CNX,1061847,USD,available
Dai,dai,DAI,1061777,USD,available
Seele,seele,SEELE,1094102,USD,available
Single Collateral DAI,,DAI,,,unavailable
KuCoin Shares,kucoin-shares,KCS,1061469,USD,available
DigiByte,digibyte,DGB,1061782,USD,available
Bytom,bytom,BTM,1061455,USD,available
LUNA,,LUNA,,,unavailable
Lisk,lisk,LSK,1061838,USD,available
Silverway,silverway,SLV,1141375,USD,available
EDUCare,educare,EKT,1094093,USD,available
Komodo,komodo,KMD,1066628,USD,available
Dimension Chain,,EON,,,unavailable
Bitcoin Diamond,bitcoin-diamond,BCD,1061454,USD,available
BitTorrent,bittorrent,BTT,1138414,USD,available
Quant,quant,QNT,1117861,USD,available
FTX Token,,FTT,,,unavailable
Swipe,swipe,SXP,1153119,USD,available
ICON,icon,ICX,1061807,USD,available
GAPS,,GAP,,,unavailable
Siacoin,siacoin,SC,1066618,USD,available
THETA,theta,THETA,1062054,USD,available
DxChain Token,,DX,,,unavailable
Waves,waves,WAVES,1061519,USD,available
IOST,iostoken,IOST,1062033,USD,available
MCO,crypto-com,MCO,1061781,USD,available
Beldex,,BDX,,,unavailable
HyperCash,hypercash,HC,1066622,USD,available
Karatgold Coin,karatgold-coin,KBC,1096112,USD,available
BitShares,bitshares,BTS,1066619,USD,available
Verge,verge,XVG,1061531,USD,available
MonaCoin,monacoin,MONA,1066645,USD,available
Bytecoin,bytecoin-bcn,BCN,1061517,USD,available
Bitbook Gambling,,BXK,,,unavailable
Nexo,nexo,NEXO,1094146,USD,available
iExec RLC,rlc,RLC,1061829,USD,available
Aeternity,aeternity,AE,1061499,USD,available
MaidSafeCoin,maidsafecoin,MAID,1061775,USD,available
BitMax Token,,BTMX,,,unavailable
Flexacoin,flexacoin,FXC,1135966,USD,available
OKB,,OKB,,,unavailable
Enjin Coin,enjin-coin,ENJ,1061824,USD,available
Ardor,ardor,ARDR,1066631,USD,available
MineBee,minebee,MB,1153135,USD,available
MineBee,minebee,MB,1153135,USD,available
Zilliqa,zilliqa,ZIL,1066743,USD,available
ILCoin,,ILC,,,unavailable
Steem,steem,STEEM,1066620,USD,available
Chiliz,chiliz,CHZ,1152984,USD,available
RIF Token,,RIF,,,unavailable
Digitex Futures,digitex-futures,DGTX,1095126,USD,available
Energi,energi,NRG,1123392,USD,available
aelf,aelf,ELF,1061493,USD,available
Horizen,zencash,ZEN,1066643,USD,available
Golem,golem-network-tokens,GNT,1061521,USD,available
Status,status,SNT,1061495,USD,available
Clipper Coin,,CCCX,,,unavailable
BitForex Token,,BF,,,unavailable
Veritaseum,veritaseum,VERI,1061823,USD,available
Noah Coin,noah-coin,NOAH,1094128,USD,available
Newton,,NEW,,,unavailable
UNI COIN,,UNI,,,unavailable
Ren,ren,REN,1094111,USD,available
Crypterium,crpt,CRPT,1094144,USD,available
MMOCoin,,MMO,,,unavailable
Aurora,aurora,AOA,1094124,USD,available
VestChain,,VEST,,,unavailable
Zcoin,zcoin,XZC,1062539,USD,available
Pundi X,pundi-x,NPXS,1094135,USD,available
Cryptoindex.com 100,cryptoindex-com-100,CIX100,1142309,USD,available
SOLVE,solve,SOLVE,1135944,USD,available
Electroneum,electroneum,ETN,1061490,USD,available
Buggyra Coin Zero,buggyra-coin-zero,BCZERO,1117727,USD,available
EDC Blockchain,edc-blockchain,EDC,1135926,USD,available
1irstcoin,,FST,,,unavailable
Dynamic Trading Rights,dynamic-trading-rights,DTR,1065432,USD,available
NEXT,,NET,,,unavailable
STASIS EURO,stasis-euro,EURS,1094188,USD,available
CryptoVerificationCoin,,CVCC,,,unavailable
Molecular Future,,MOF,,,unavailable
Matic Network,matic-network,MATIC,1138411,USD,available
Jewel,,JWL,,,unavailable
Nash Exchange,,NEX,,,unavailable
Bit-Z Token,,BZ,,,unavailable
CoinDash,coindash,CDT,1061488,USD,available
Huobi Pool Token,,HPT,,,unavailable
Metaverse ETP,metaverse,ETP,1061458,USD,available
botXcoin,,BOTX,,,unavailable
GXChain,gxchain,GXC,1066648,USD,available
Bitcoin 2,,BTC2,,,unavailable
Fusion,fusion,FSN,1071977,USD,available
PLATINCOIN,,PLC,,,unavailable
LATOKEN,latoken,LA,1071254,USD,available
Stratis,stratis,STRAT,1061480,USD,available
Grin,grin,GRIN,1142594,USD,available
RChain,rchain,RHOC,1066654,USD,available
USDK,,USDK,,,unavailable
XMax,,XMX,,,unavailable
Kyber Network,kyber-network,KNC,1061801,USD,available
Bankera,bankera,BNK,1081631,USD,available
Thunder Token,,TT,,,unavailable
Decentraland,decentraland,MANA,1061831,USD,available
WINk,,WIN,,,unavailable
Ignis,ignis,IGNIS,1065171,USD,available
Tierion,tierion,TNT,1061511,USD,available
Populous,populous,PPT,1066630,USD,available
BitcoinHD,,BHD,,,unavailable
Factom,factom,FCT,1066623,USD,available
Elastos,elastos,ELA,1093946,USD,available
Maximine Coin,maximine-coin,MXM,1117726,USD,available
Cortex,cortex,CTXC,1089267,USD,available
Waltonchain,waltonchain,WTC,1061486,USD,available
Loopring,loopring,LRC,1061482,USD,available
Bread,bread,BRD,1066594,USD,available
Aion,aion,AION,1062228,USD,available
Qubitica,qubitica,QBIT,1138347,USD,available
Beam,beam,BEAM,1142597,USD,available
YOU COIN,,YOU,,,unavailable
Project Pai,project-pai,PAI,1123471,USD,available
Ecoreal Estate,,ECOREAL,,,unavailable
Enigma,enigma,ENG,1061793,USD,available
MX Token,,MX,,,unavailable
Nebulas,nebulas-token,NAS,1061471,USD,available
Lambda,,LAMB,,,unavailable
Fetch.ai,fetch,FET,1142591,USD,available
ODEM,odem,ODE,1093949,USD,available
WaykiChain,waykichain,WICC,1093970,USD,available
Civic,civic,CVC,1061792,USD,available
NULS,nuls,NULS,1061520,USD,available
DigixDAO,digixdao,DGD,1061791,USD,available
Wanchain,wanchain,WAN,1094148,USD,available
AgaveCoin,agavecoin,AGVC,1129345,USD,available
ReddCoin,reddcoin,RDD,1062541,USD,available
FunFair,funfair,FUN,1061783,USD,available
Dragon Coins,dragon-coins,DRG,1089297,USD,available
LINA,,LINA,,,unavailable
Ripio Credit Network,ripio-credit-network,RCN,1061810,USD,available
IoTeX,iotex,IOTX,1081594,USD,available
Revain,revain,R,1061971,USD,available
Ark,ark,ARK,1066624,USD,available
Hyperion,,HYN,,,unavailable
Binance USD,,BUSD,,,unavailable
Telos,,TLOS,,,unavailable
General Attention Currency,,XAC,,,unavailable
Fantom,fantom,FTM,1155566,USD,available
BitCapitalVendor,bitcapitalvendor,BCV,1155574,USD,available
QASH,qash,QASH,1061470,USD,available
Gatechain Token,,GT,,,unavailable
WAX,wax,WAXP,1066698,USD,available
TrueChain,truechain,TRUE,1094180,USD,available
BHEX Token,,BHT,,,unavailable
Aragon,aragon,ANT,1061805,USD,available
Hedera Hashgraph,hedera-hashgraph,HBAR,1153127,USD,available
Storj,storj,STORJ,1061814,USD,available
Orbs,,ORBS,,,unavailable
Divi,divi,DIVI,1071294,USD,available
BHPCoin,,BHP,,,unavailable
TomoChain,tomochain,TOMO,1094109,USD,available
MEXC Token,mexc-token,MEXC,1153114,USD,available
GNY,,GNY,,,unavailable
Loom Network,loom-network,LOOM,1076799,USD,available
Aave,,LEND,,,unavailable
Atlas Protocol,,ATP,,,unavailable
Spectre.ai Dividend Token,,SXDT,,,unavailable
Bancor,bancor,BNT,1061523,USD,available
Ultiledger,,ULT,,,unavailable
Power Ledger,power-ledger,POWR,1066644,USD,available
Arcblock,arcblock,ABT,1071160,USD,available
MicroBitcoin,,MBC,,,unavailable
CRYPTO20,c20,C20,1066753,USD,available
Santiment Network Token,santiment,SAN,1061532,USD,available
Tratin,,TRAT,,,unavailable
MOAC,moac,MOAC,1094120,USD,available
Wixlar,,WIX,,,unavailable
Metal,metal,MTL,1061893,USD,available
Robotina,,ROX,,,unavailable
Gnosis,gnosis-gno,GNO,1061779,USD,available
Matrix AI Network,matrix-ai-network,MAN,1089385,USD,available
Diamond Platform Token,,DPT,,,unavailable
Loki,loki,LOKI,1152980,USD,available
Cocos-BCX,cocos-bcx,COCOS,1152975,USD,available
BQT,,BQTX,,,unavailable
Vitae,,VITAE,,,unavailable
Obyte,obyte,GBYTE,1066625,USD,available
Streamit Coin,,STREAM,,,unavailable
BTU Protocol,btu-protocol,BTU,1141245,USD,available
BitKan,,KAN,,,unavailable
Leverj,,LEV,,,unavailable
Dentacoin,dentacoin,DCN,1061501,USD,available
Cred,libra-credit,LBA,1094005,USD,available
Dent,dent,DENT,1066652,USD,available
Nexus,nexus,NXS,1062549,USD,available
MediBloc [ERC20],medx,MEDX,1094182,USD,available
Groestlcoin,groestlcoin,GRS,1061865,USD,available
Harmony,harmony,ONE,1137531,USD,available
TokenCard,tokencard,TKN,1061822,USD,available
Envion,envion,EVN,1094079,USD,available
Eidoo,eidoo,EDO,1061478,USD,available
Cindicator,cindicator,CND,1061522,USD,available
Vertcoin,vertcoin,VTC,1066639,USD,available
Bibox Token,bibox-token,BIX,1065468,USD,available
Safe,,SAFE,,,unavailable
CyberMiles,cybermiles,CMT,1066545,USD,available
Function X,,FX,,,unavailable
CasinoCoin,casinocoin,CSC,1094197,USD,available
Credits,credits,CS,1072425,USD,available
Celer Network,celer-network,CELR,1141870,USD,available
Syscoin,syscoin,SYS,1062226,USD,available
Polis,,POLIS,,,unavailable
Aladdin,,ADN,,,unavailable
PIVX,pivx,PIVX,1066627,USD,available
Gas,gas,GAS,1061780,USD,available
Constellation,constellation,DAG,1088163,USD,available
Nxt,nxt,NXT,1061459,USD,available
Wirex Token,wirex-token,WXT,1141722,USD,available
Moeda Loyalty Points,moeda-loyalty-points,MDA,1061529,USD,available
Apollo Currency,apollo-currency,APL,1097756,USD,available
UnlimitedIP,,UIP,,,unavailable
Elrond,,ERD,,,unavailable
TTC,ttc,TTC,1094072,USD,available
Theta Fuel,theta-fuel,TFUEL,1138421,USD,available
SCRL,scroll,SCRL,1094187,USD,available
Stealthcoin,stealthcoin,XST,1071258,USD,available
FIBOS,,FO,,,unavailable
sUSD,,SUSD,,,unavailable
Telcoin,telcoin,TEL,1066749,USD,available
Request,request,REQ,1061806,USD,available
Elitium,,EUM,,,unavailable
Wagerr,wagerr,WGR,1066674,USD,available
adToken,adtoken,ADT,1071204,USD,available
MB8 Coin,,MB8,,,unavailable
SingularityNET,singularitynet,AGI,1062540,USD,available
Pigeoncoin,,PGN,,,unavailable
NewYork Exchange,,NYE,,,unavailable
B2BX,b2bx,B2B,1071272,USD,available
Emirex Token,,EMRX,,,unavailable
Polymath,polymath-network,POLY,1062867,USD,available
Mainframe,mainframe,MFT,1094108,USD,available
NKN,nkn,NKN,1093936,USD,available
Davinci Coin,,DAC,,,unavailable
PayPie,paypie,PPP,1072125,USD,available
GreenPower,,GRN,,,unavailable
QuarkChain,quarkchain,QKC,1094200,USD,available
Carry,,CRE,,,unavailable
Numeraire,numeraire,NMR,1071193,USD,available
CryptoFranc,,XCHF,,,unavailable
Unobtanium,unobtanium,UNO,1061818,USD,available
ETERNAL TOKEN,eternal-token,XET,1094196,USD,available
PlayChip,,PLA,,,unavailable
United Traders Token,uttoken,UTT,1094192,USD,available
Monolith,,TKN,,,unavailable
MediBloc,medibloc,MED,1061484,USD,available
BnkToTheFuture,bnktothefuture,BFT,1093979,USD,available
IoT Chain,iot-chain,ITC,1061474,USD,available
HYCON,,HYC,,,unavailable
FirstBlood,firstblood,1ST,1061899,USD,available
Bitrue Coin,,BTR,,,unavailable
Pillar,pillar,PLR,1066638,USD,available
Storm,storm,STORM,1064946,USD,available
GoWithMi,,GMAT,,,unavailable
TenX,tenx,PAY,1061784,USD,available
Egretia,egretia,EGT,1141881,USD,available
Einsteinium,einsteinium,EMC2,1066646,USD,available
PressOne,pressone,PRS,1071974,USD,available
EOS Force,,EOSC,,,unavailable
Ocean Protocol,,OCEAN,,,unavailable
Blackmoon,blackmoon,BMC,1061534,USD,available
Everipedia,,IQ,,,unavailable
Contentos,,COS,,,unavailable
Quantum Resistant Ledger,quantum-resistant-ledger,QRL,1066565,USD,available
IRISnet,,IRIS,,,unavailable
S4FE,,S4F,,,unavailable
DDKoin,ddkoin,DDK,1142306,USD,available
Valor Token,,VALOR,,,unavailable
Skycoin,skycoin,SKY,1061798,USD,available
Gifto,gifto,GTO,1066592,USD,available
Ankr,,ANKR,,,unavailable
Anchor,,ANCT,,,unavailable
EarthCoin,earthcoin,EAC,1071252,USD,available
ZTCoin,,ZT,,,unavailable
RealTract,,RET,,,unavailable
ZrCoin,zrcoin,ZRC,1071307,USD,available
Utrust,utrust,UTK,1066740,USD,available
Aencoin,,AEN,,,unavailable
Lightning Bitcoin,lightning-bitcoin,LBTC,1061457,USD,available
Locus Chain,,LOCUS,,,unavailable
Streamr DATAcoin,streamr-datacoin,DATA,1061487,USD,available
THORChain,,RUNE,,,unavailable
EXMR,exmr,EXMR,1089378,USD,available
Particl,particl,PART,1062548,USD,available
INT Chain,,INT,,,unavailable
Force Protocol,,FOR,,,unavailable
Content Value Network,,CVNT,,,unavailable
Mithril,mithril,MITH,1094136,USD,available
bitCNY,,BITCNY,,,unavailable
Reserve Rights,,RSR,,,unavailable
Dragonchain,dragonchain,DRGN,1061772,USD,available
BABB,babb,BAX,1094106,USD,available
Tao,tao,XTO,1094151,USD,available
GoChain,gochain,GO,1094189,USD,available
Achain,achain,ACT,1065169,USD,available
Raiden Network Token,raiden-network-token,RDN,1061525,USD,available
Eligma Token,,ELI,,,unavailable
OTOCASH,,OTO,,,unavailable
Levolution,,LEVL,,,unavailable
Time New Bank,time-new-bank,TNB,1065225,USD,available
Po.et,poet,POE,1064947,USD,available
Kava,,KAVA,,,unavailable
BOLT,,BOLT,,,unavailable
TOP,,TOP,,,unavailable
REPO,repo,REPO,1094086,USD,available
OST,,OST,,,unavailable
Blox,,CDT,,,unavailable
Everex,everex,EVX,1061527,USD,available
ERC20,erc-20,ERC20,1072104,USD,available
OVCODE,,OVC,,,unavailable
LGO Exchange,legolas-exchange,LGO,1094094,USD,available
Wabi,wabi,WABI,1066659,USD,available
Ruff,ruff,RUFF,1094190,USD,available
SmartMesh,smartmesh,SMT,1061479,USD,available
Neblio,neblio,NEBL,1062878,USD,available
Origo,,OGO,,,unavailable
Incent,incent,INCNT,1071224,USD,available
Quantstamp,quantstamp,QSP,1061789,USD,available
UGAS,,UGAS,,,unavailable
Linda,linda,LINDA,1071395,USD,available
Tokenomy,tokenomy,TEN,1094052,USD,available
STPT,,STPT,,,unavailable
Metadium,,META,,,unavailable
Sport and Leisure,sport-and-leisure,SNL,1142339,USD,available
All Sports,all-sports,SOC,1094133,USD,available
Viberate,viberate,VIB,1061462,USD,available
LockTrip,lockchain,LOC,1071734,USD,available
KiloCoin,kilocoin,KLC,1071432,USD,available
pEOS,,PEOS,,,unavailable
Restart Energy MWAT,restart-energy-mwat,MWAT,1073129,USD,available
Tripio,,TRIO,,,unavailable
THEKEY,thekey,TKY,1094199,USD,available
FNB Protocol,,FNB,,,unavailable
