name,full_name,tag,id,base,base_name,second,second_name
USD/AED,USD/AED - US Dollar UAE Dirham,usd-aed,152,USD,US Dollar,AED,UAE Dirham
AED/JPY,AED/JPY - UAE Dirham Japanese Yen,aed-jpy,1467,AED,UAE Dirham,JPY,Japanese Yen
AED/PKR,AED/PKR - UAE Dirham Pakistani Rupee,aed-pkr,1469,AED,UAE Dirham,PKR,Pakistani Rupee
CAD/AED,CAD/AED - Canadian Dollar UAE Dirham,cad-aed,1520,CAD,Canadian Dollar,AED,UAE Dirham
CHF/AED,CHF/AED - Swiss Franc UAE Dirham,chf-aed,1540,CHF,Swiss Franc,AED,UAE Dirham
DKK/AED,DKK/AED - Danish Krone UAE Dirham,dkk-aed,1577,DKK,Danish Krone,AED,UAE Dirham
EUR/AED,EUR/AED - Euro UAE Dirham,eur-aed,1604,EUR,Euro,AED,UAE Dirham
GBP/AED,GBP/AED - British Pound UAE Dirham,gbp-aed,1727,GBP,British Pound,AED,UAE Dirham
JPY/AED,JPY/AED - Japanese Yen UAE Dirham,jpy-aed,1887,JPY,Japanese Yen,AED,UAE Dirham
AED/ARS,AED/ARS - UAE Dirham Argentinian Peso,aed-ars,9275,AED,UAE Dirham,ARS,Argentinian Peso
AED/AUD,AED/AUD - UAE Dirham Australian Dollar,aed-aud,9276,AED,UAE Dirham,AUD,Australian Dollar
AED/BRL,AED/BRL - UAE Dirham Brazil Real,aed-brl,9277,AED,UAE Dirham,BRL,Brazil Real
AED/CAD,AED/CAD - UAE Dirham Canadian Dollar,aed-cad,9278,AED,UAE Dirham,CAD,Canadian Dollar
AED/CHF,AED/CHF - UAE Dirham Swiss Franc,aed-chf,9279,AED,UAE Dirham,CHF,Swiss Franc
AED/CLP,AED/CLP - UAE Dirham Chilean Peso,aed-clp,9280,AED,UAE Dirham,CLP,Chilean Peso
AED/CNY,AED/CNY - UAE Dirham Chinese Yuan,aed-cny,9281,AED,UAE Dirham,CNY,Chinese Yuan
AED/CZK,AED/CZK - UAE Dirham Czech Koruna,aed-czk,9282,AED,UAE Dirham,CZK,Czech Koruna
AED/DKK,AED/DKK - UAE Dirham Danish Krone,aed-dkk,9283,AED,UAE Dirham,DKK,Danish Krone
AED/EUR,AED/EUR - UAE Dirham Euro,aed-eur,9284,AED,UAE Dirham,EUR,Euro
AED/GBP,AED/GBP - UAE Dirham British Pound,aed-gbp,9285,AED,UAE Dirham,GBP,British Pound
AED/HKD,AED/HKD - UAE Dirham Hong Kong Dollar,aed-hkd,9286,AED,UAE Dirham,HKD,Hong Kong Dollar
AED/HUF,AED/HUF - UAE Dirham Hungarian Forint,aed-huf,9287,AED,UAE Dirham,HUF,Hungarian Forint
AED/ILS,AED/ILS - UAE Dirham Israeli Shekel,aed-ils,9288,AED,UAE Dirham,ILS,Israeli Shekel
AED/INR,AED/INR - UAE Dirham Indian Rupee,aed-inr,9289,AED,UAE Dirham,INR,Indian Rupee
AED/ISK,AED/ISK - UAE Dirham Icelandic Kr,aed-isk,9290,AED,UAE Dirham,ISK,Icelandic Kr
AED/KRW,AED/KRW - UAE Dirham Korean Won,aed-krw,9291,AED,UAE Dirham,KRW,Korean Won
