id,name,tag
442,ACS,acs-cons-y-serv
443,Abengoa,abengoa
444,Atresmedia,atresmedia
445,Acerinox,acerinox
446,BBVA,bbva
447,Bankinter,bankinter
448,BME,bolsas-y-mer-esp
449,Acciona,acciona-sa
452,Caixabank,caixabank-sa
453,Enagás,enagas
455,FCC,fcc
456,Naturgy Energy,gas-natural-sdg
457,Siemens Gamesa,gamesa
458,Grifols,grifols
459,Ferrovial,grupo-ferrovial
460,Red Eléctrica,red-electrica
461,Inditex,inditex
462,Repsol,repsol-ypf
463,Iberdrola,iberdrola
465,Indra,indra-sistemas
466,Mapfre,mapfre
469,Telefónica,telefonica
471,Mediaset,mediaset-esp
472,Sacyr,sacyr-valle
473,Banco Sabadell,bco-de-sabadell
474,Santander,banco-santander
9060,Colonial,inmob-colonial
10526,Técnicas Reunidas,tecnicas-reunidas
13808,OHL,ohl
13809,IAG,intl.-cons.-air-grp?cid=13809
13815,Ebro Foods,ebro-foods
13816,Endesa,endesa
14615,Amadeus,amadeus
14616,Bankia,bankia
18893,DIA,dia
32176,Vértice 360,vertice-trescientos-sesenta-grados
32178,Rovi,laboratorios-farmaceuticos-rovi-sa
32179,GAM,general-de-alquiler-de-maquinaria
32180,Solaria,solaria-energia-y-medio-ambiente
32183,Papeles Y Cartones,europac
32184,Airtificial Intelligence,inypsa-informes-y-proyectos-sa
32185,Alantra Partners,dinamia-capital-privado-scr-sa
32186,Alba SA,corporacion-financiera-alba-sa
32187,Promotora Informaciones,prisa
32188,Meliá Hotels,melia-hotels-international-sa
32189,Empresarial San Jose,grupo-empresarial-san-jose-sa
32190,Nueva Expresion,dogi-international-fabrics-sa
32191,Audax Renovables,fersa-energias-renovables-sa
32195,Miquel y Costas,iquel-y-costas---miquel-sa
32196,Catalana Occidente,grupo-catalana-occidente-sa
32197,Service P.S.,service-point-solutions-sa
32198,ENCE,ence-energia-y-celulosa-sa
32199,Construcciones y Auxiliar,auxiliar-de-ferrocarriles
32200,Urbas,urbas-grupo-financiero-sa
32203,Insur,inmobiliaria-del-sur-sa
32207,Quabit,quabit-inmobiliaria-sa
32208,Lingotes Especiales,lingotes-especiales-sa
32218,Iberpapel,iberpapel-gestion-sa
32224,Bodegas Riojanas,bodegas-riojanas-sa
32225,Adolfo Domínguez,adolfo-dominguez-sa
32227,Realia,realia-business-sa
32228,Nyesa Valores Corp,nyesa-valores-corp
32229,Clínica Baviera,clinica-baviera-sa
32230,Reno De Medici,reno-de-medici-spa?cid=32230
32231,Nicolás Correa,nicolas-correa-sa
32232,Cie Automotive,cie-automotive-sa
32235,Renta 4,renta-4-banco-sa
32236,Reig Jofre,natraceutical-sa
32237,Ezentis,grupo-ezentis-sa
32238,Duro Felguera,duro-felguera-sa
32244,Zardoya,zardoya-otis-sa
32245,Barón de Ley,baron-de-ley-sa
32249,Montebalito,montebalito-sa
32250,Metrovacesa,metrovacesa-sa
32256,NH Hoteles,nh-hoteles-sa
32258,Faes Farma,faes-farma-sa
32264,Tubos Reunidos,tubos-reunid
32265,Pescanova,pescanova-sa
32266,Grifols Pref,grifols-sa-b
32268,Biosearch,biosearch-sa
32274,Viscofan,viscofan-sa
32276,Prosegur,prosegur-sa
32279,Almirall,almirall-sa
32280,Vocento,vocento-sa
32281,Vidrala,vidrala-sa
32282,Empresarial Materiales,uralita-sa
32283,Tubacex,tubacex-sa
32284,Renta Corp.,renta-corp
32285,Fluidra,fluidra-sa
32286,Elecnor,elecnor-sa
32287,Azkoyen,azkoyen-sa
32288,Aperam,aperam?cid=32288
32291,Sniace,sniace-sa
32292,Ercros,ercros-sa
32293,Codere,codere-sa
32295,Bayer,bayer-ag?cid=32295
32299,Natra,natra-sa
32301,Amper,amper-sa
32302,Airbus Group,eads?cid=32302
32303,Prim,prim-sa
32305,Deoleo,deoleo
32439,ArcelorMittal,arcelormittal-reg?cid=32439
40331,Abengoa B,abengoa-b
40902,Liberbank,liberbank-sa
44452,Ebioss Energy,ebioss-energy-ad-sofia
44453,Entrecampos Cuatro,entre-cua-socimi
48594,PETROBRAS PN,petrobras-pn?cid=48594
48595,America Movil,america-movil-l?cid=48595
48597,BRADESPAR ON,bradespar-on-n1?cid=48597
48598,BRADESPAR PN,bradespar-pn-n1?cid=48598
48599,BRASKEM PNA,braskem-pna-n1?cid=48599
48600,COPEL PNB,copel-pnb?cid=48600
48601,ELETROBRAS ON,eletrobras-on?cid=48601
48602,ELETROBRAS PNB,eletrobras-pnb?cid=48602
48603,PETROBRAS ON,petrobras-on?cid=48603
48604,USIMINAS ON,usiminas-on?cid=48604
48605,USIMINAS PNA,usiminas-pna?cid=48605
48606,VALE ON,vale-on-n1?cid=48606
48607,Alfa,alfa-a?cid=48607
48608,Grupo Elektra,elektra?cid=48608
48609,Grupo Financiero Banorte,financiero-banorte?cid=48609
48611,TV Azteca Cpo,tv-azteca-cpo?cid=48611
48612,Frances,frances?cid=48612
48613,CEMIG PN,cemig-pn-n1?cid=48613
48614,BRADESCO PN EJ N1 ,bradesco-pn-n1?cid=48614
48615,GERDAU PN N1,gerdau-pn-n1?cid=48615
48618,Volcan,volcan-cmp-min
49930,1nkemia IUCT SA,1nkemia-iuct-group-s.a.
49931,Ab-Biotics,ab-biotics-s.a.
49932,Altia,altia-consultores-s.a.
49933,ADL Bionatur,bionaturis
49936,Catenon,catenon-s.a.
49937,Euroespes,euroespes-s.a.
49938,Eurona,eurona-wireless-telecom-s.a.
49939,Griñó Ecologic,grino-ecologic-s.a.
49940,Masmovil Ibercom,world-wide-web-ibercom-s.a.
49941,Imaginarium,imaginarium-s.a.
49942,Medcom Tech,medcom-tech-s.a.
49943,Neuron,neuron-bio-s.a.
49944,Secuoya,secuoya-grupo-de-comunicacion-s.a.
49946,Zinkia,zinkia-entertainment-s.a.
100241,eDreams,edreams-odigeo-sa
100242,Lar España,lar-espana-real-estate-socimi-sa
100243,Hispania,hispania-activos-inmobiliarios-sau
101934,Applus,applus-services-sa
102931,Merlin Properties,merlin-properties-sa
103907,Facephi,facephi-biometria-sa
104388,Logista,logista
940784,Cerbium,only-apartments-sa
942718,Home Meal,home-meal
945627,Aena,aena-aeropuertos-sa
946356,Uro Property Holdings,uro-property-holdings
949224,NBI Bearings Europe,nbi-bearings-europe-s.a.
949749,Naturhouse,naturhouse-health-sa
951681,Cellnex Telecom,cellnex-telecom
951682,Talgo,talgo
955670,Euskaltel SA,euskaltel-sa
955671,Fidere Patrimonio SOCIMI SA,fidere-patrimonio-socimi-sa
955882,Grenergy Renovables SA,grenergy-renovables-sa
