country,name,symbol,tag,id,issuer,isin,asset class
andorra,Mora Physical Gold Fund 1kg Fi,0P0000SSZ8,mora-physical-gold-fund-1kg-fi,1046270,Mora Gestió D’Actius,AD000A1JX363,equity
andorra,Mora Physical Gold Fund 100 Grams,0P0000ZE22,mora-physical-gold-fund-100-grams,1046269,Mora Gestió D’Actius,AD000A1KB6C6,equity
andorra,Olymp Fund Atlant,0P0000A0S1,olymp-fund-atlant,1046271,Meriden IFM,AD000A0JMQ05,equity
andorra,Mak Fund Russian Combined,0P0000A29Q,mak-fund-russian-combined,1046268,Meriden IFM,AD000A0ET2K7,equity
australia,Rest Super Core Strategy,0P0000NGOR,rest-super-core-strategy,1028721,Retail Employees Superannuation Pty Ltd,,equity
australia,Sunsuper Lifecycle Balanced Pool,0P000170EA,sunsuper-lifecycle-balanced-pool,1029135,Sunsuper Pty Ltd,,equity
australia,Vanguard International Shares Index Fund,0P00007962,vanguard-international-shares-inde,1027683,Vanguard Investments Australia Ltd,AU60VAN00030,equity
australia,Vicsuper Futuresaver Growth,LP65153854,vicsuper-futuresaver-growth,1029089,VicSuper Pty Ltd,,equity
australia,Amp Capital Enhanced Index International Share,LP65021265,amp-capital-enhanced-index-internat,1027647,AMP Group,AU60AMP02758,equity
australia,Magellan Global Fund,0P00009H7Y,magellan-global-fund,1028539,Magellan Asset Management Limited,AU60MGE00019,equity
australia,Mfs Fully Hedged Global Equity Trust,0P00007H8C,mfs-fully-hedged-global-equity-tru,1028250,MFS Investment Management,AU60ETL00410,equity
australia,Sunsuper Balanced,0P0000N9QK,sunsuper-balanced,1028709,Sunsuper Pty Ltd,,equity
australia,Cfs Fc W Psup-realindex W Aus Shr,LP65144597,cfs-fc-w-psup-realindex-rafi-w-aus,1028650,Commonwealth/Colonial Group,AU60FSF10030,equity
australia,Cfs Fc W Pen-realindex W Aus Shr,LP65144592,cfs-fc-w-pen-realindex-rafi-w-aus,1028651,Commonwealth/Colonial Group,AU60FSF09982,equity
australia,Realindex Wholesale Australian Shr,LP65144587,realindex-rafi-wholesale-australia,1045961,Commonwealth/Colonial Group,AU60FSF10154,equity
australia,Realindex Australian Share-class A,LP68022896,realindex-rafi-australian-share-cl,1028670,Commonwealth/Colonial Group,AU60FSF09768,equity
australia,Sunsuper Growth,0P0000N9QJ,sunsuper-growth,1028708,Sunsuper Pty Ltd,,equity
australia,Firstchoice Ws Inv - Firstchoice Ws Moderate,LP65001876,firstchoice-ws-inv-firstchoice-ws-m,1028054,Commonwealth/Colonial Group,AU60FSF05006,equity
australia,Cfs Fc W Psup-firstchoice W Moderate,LP65001446,cfs-fc-w-psup-firstchoice-w-moderat,1028099,Commonwealth/Colonial Group,AU60FSF06079,equity
australia,Cfs Fc Esup-firstchoice Moderate Select,LP68216397,cfs-fc-esup-firstchoice-moderate-se,1029032,Commonwealth/Colonial Group,,equity
australia,Cfs Fc W Pen-firstchoice W Moderate,LP65001615,cfs-fc-w-pen-firstchoice-w-moderate,1028146,Commonwealth/Colonial Group,AU60FSF05352,equity
australia,Fidelity Australian Equities Fund,0P00007H7B,fidelity-australian-equities-fund,1028247,FIL Australia,AU60FID00086,equity
australia,Pimco Global Bond Fund Wholesale Class,0P00007DT1,pimco-global-bond-fund-wholesale-cl,1027952,PIMCO Australia Pty Limited,AU60ETL00188,bond
australia,Vanguard Australian Property Securities Index Fund,0P000079J8,vanguard-australian-property-securi,1027722,Vanguard Investments Australia Ltd,AU60VAN00048,equity
australia,Aberdeen Std Australian Equities Fund,0P000078OV,aberdeen-australian-equities-fund,1027649,Aberdeen Standard Investments,AU60MGL01145,equity
australia,Vanguard Growth Index Fund,0P00007EH8,vanguard-growth-index-fund-au,1027992,Vanguard Investments Australia Ltd,AU60VAN01103,equity
australia,Cfs Fc W Pen-firstchoice W Fixed Int,LP65001611,cfs-fc-w-pen-firstchoice-w-fixed-in,1028095,Commonwealth/Colonial Group,AU60FSF05329,bond
australia,Cfs Fc W Psup-firstchoice W Fixed Int,LP65001442,cfs-fc-w-psup-firstchoice-w-fixed-i,1028051,Commonwealth/Colonial Group,AU60FSF06004,bond
australia,Cfs Fc Esup-firstchoice Fixed Intr Sel,LP68216400,cfs-fc-esup-firstchoice-fixed-intr,1029034,Commonwealth/Colonial Group,,bond
australia,Paradice Global Small Cap Fund,0P0000XYA7,paradice-global-small-mid-cap,1029008,Paradice Investment Management Pty Ltd,AU60ETL03653,equity
australia,Amp Capital Future Directions Balanced Fund,LP63512557,amp-capital-future-directions-balan,1027900,AMP Group,AU60AMP04473,equity
australia,Amp Capital Future Directions Balanced Fund - Class A,LP63512582,amp-capital-future-directions-balaa,1027953,AMP Group,AU60AMP05462,equity
australia,Vanguard International Shares Index Fund (hedged) - Aud Class,0P00007H18,vanguard-international-shares-index,1028243,Vanguard Investments Australia Ltd,AU60VAN01053,equity
australia,Vanguard Balanced Index Fund,0P00007EK0,vanguard-balanced-index-fund,1027996,Vanguard Investments Australia Ltd,AU60VAN01087,equity
australia,Sunsuper Lifecycle Retirement Pool,0P000170EB,sunsuper-lifecycle-retirement-pool,1029136,Sunsuper Pty Ltd,,equity
australia,Realindex Global Share-class A,LP68025651,realindex-rafi-global-share-class,1028669,Commonwealth/Colonial Group,AU60FSF09743,equity
australia,Cfs Fc W Pen-firstchoice W Aus Share,LP65001606,cfs-fc-w-pen-firstchoice-w-aus-shar,1045917,Commonwealth/Colonial Group,AU60FSF05295,equity
australia,Cfs Fc W Psup-cfs W Index Aus Bond,LP65001425,cfs-fc-w-psup-cfs-w-index-aus-bond,1028147,Commonwealth/Colonial Group,AU60FSF06186,bond
australia,Cfs Fc W Pen-cfs W Index Aus Bond,LP65001594,cfs-fc-w-pen-cfs-w-index-aus-bond,1028203,Commonwealth/Colonial Group,AU60FSF05451,bond
australia,Cfs Fc W Psup-firstchoice W Growth,LP65001444,cfs-fc-w-psup-firstchoice-w-growth,1028082,Commonwealth/Colonial Group,AU60FSF06053,equity
australia,Cfs Fc W Pen-firstchoice W Growth,LP65001613,cfs-fc-w-pen-firstchoice-w-growth,1028124,Commonwealth/Colonial Group,AU60FSF05337,equity
australia,Cfs Fc Esup-firstchoice Growth Select,0P0000YXMI,cfs-fc-esup-firstchoice-growth-sele,1029033,Commonwealth/Colonial Group,,equity
australia,Cfs Fc Esup-cfs Index Aus Share Sel,0P0000YXLY,cfs-fc-esup-cfs-index-aus-share-sel,1029026,Commonwealth/Colonial Group,,equity
australia,Antipodes Global Fund - Class P,0P000078K9,antipodes-global-fund-class-p,1027642,Antipodes Partners Limited,AU60IOF00455,equity
australia,Walter Scott Global Equity Fund,0P00007H7T,walter-scott-global-equity-fund,1028248,Macquarie Bank Group,AU60MAQ04109,equity
australia,Ipac Select Index Balanced,0P0000SJDY,ipac-select-index-balanced,1028919,AMP Group,AU60IPA01469,equity
australia,North Index Balanced,0P000078RG,north-index-balanced,1027651,AMP Group,AU60NMM01131,equity
australia,Dimensional Global Core Equity Trust,0P00007KAJ,dimensional-global-core-equity-trus,1028451,DFA Australia Limited,AU60DFA00042,equity
australia,Russell Global Opportunities Fund Class A,0P00007F86,russell-global-opportunities-fund-c,1028032,Russell Investment Management Limited,AU60RIM00322,equity
australia,Ellerston Australian Share Fund,0P0000JR34,ellerston-australian-share-fund,1028667,Ellerston Capital Limited,AU60ECL00051,equity
australia,Ioof Balanced Investor Trust,0P00012FH8,ioof-balanced-investor-trust,1029094,IOOF Group,AU60IOF02329,equity
australia,Cfs Fc W Pen-firstchoice W Conservative,LP65001609,cfs-fc-w-pen-firstchoice-w-conserva,1028172,Commonwealth/Colonial Group,AU60FSF05303,equity
australia,Pimco Diversified Fixed Interest Fund Wholesale Class,0P00007DVS,pimco-diversified-fixed-interest-f,1027955,PIMCO Australia Pty Limited,AU60ETL00162,bond
australia,Bentham Syndicated Loan Fund,0P00007G3N,bentham-wholesale-syndicated-loan-f,1028180,Challenger Ltd,AU60CSA00468,bond
australia,Bentham Professional Syndicated Loan Fund,0P00007I0K,bentham-professional-syndicated-loa,1028366,Challenger Ltd,AU60CSA00484,bond
australia,Mlc Masterkey Business Super - Mlc Mysuper Fund,LP68240542,mlc-masterkey-business-super-mlc-my,1029055,National/MLC Group,AU60MLC09253,equity
australia,Cfs Fc W Psup-firstchoice W M-index Cons,LP65001434,cfs-fc-w-psup-firstchoice-w-m-index,1028098,Commonwealth/Colonial Group,AU60FSF06137,equity
australia,Cfs Fc Esup-firstchoice M-idx Cnsrv Sel,0P0000YXMQ,cfs-fc-esup-firstchoice-m-idx-cnsrv,1029036,Commonwealth/Colonial Group,,equity
australia,Cfs Fc W Pen-firstchoice W M-index Cons,LP65001603,cfs-fc-w-pen-firstchoice-w-m-inde,1028145,Commonwealth/Colonial Group,AU60FSF05402,equity
australia,Cfs Fc W Pen-firstchoice W M-index Bal,LP65001602,cfs-fc-w-pen-firstchoice-w-m-index,1028204,Commonwealth/Colonial Group,AU60FSF05592,equity
australia,Cfs Fc W Inv-fc W Multi-index Balanced,LP65001863,cfs-fc-w-inv-fc-w-multi-index-balan,1028149,Commonwealth/Colonial Group,AU60FSF04769,equity
australia,Cfs Fc W Psup-firstchoice W M-index Bal,LP65001433,cfs-fc-w-psup-firstchoice-w-m-inde,1028148,Commonwealth/Colonial Group,AU60FSF06327,equity
australia,Cfs Firstchoice Multi-index Balanced Fund - Class A,LP68238898,cfs-firstchoice-multi-index-balance,1029092,Commonwealth/Colonial Group,AU60FSF14164,equity
australia,Cfs Fc Esup-firstchoice M-index Bal Sel,0P0000YXMR,cfs-fc-esup-firstchoice-m-index-bal,1029037,Commonwealth/Colonial Group,,equity
