country,name,full_name,tag,id,symbol,currency
argentina,S&P Merval,S&P Merval,merv,13376,MERV,ARS
argentina,S&P Merval Argentina,S&P Merval Argentina,mar,13374,MAR,ARS
argentina,S&P/BYMA Argentina General,S&P/BYMA Argentina General,ibg,13317,IBG,ARS
australia,S&P/ASX 200,S&P/ASX 200,aus-200,171,AXJO,AUD
australia,ASX All Ordinaries,ASX All Ordinaries,all-ordinaries,14499,AORD,AUD
australia,ASX Small Ordinaries,ASX Small Ordinaries,s-p-asx-small-ord,14497,AXSO,AUD
australia,S&P/ASX 100,S&P/ASX 100,s-p-asx-100,14496,ATOI,AUD
australia,S&P/ASX 20,S&P/ASX 20,s-p-asx-20,14493,ATLI,AUD
australia,S&P/ASX 300,S&P/ASX 300,s-p-asx-300,14498,AXKO,AUD
australia,S&P/ASX 50,S&P/ASX 50,s-p-asx-50,14494,AFLI,AUD
australia,S&P/ASX All Australian 200,S&P/ASX All Australian 200,s-p-asx-all-australian-200,14503,AXAT,AUD
australia,S&P/ASX All Australian 50,S&P/ASX All Australian 50,s-p-asx-all-australian-50,14502,AXAF,AUD
australia,S&P/ASX Midcap 50,S&P/ASX Midcap 50,s-p-asx-midcap50,14495,AXMD,AUD
austria,ATX,ATX,atx,1016254,ATX,EUR
austria,ATX 5,ATX 5,atx-5,49519,ATX5,EUR
austria,ATX Prime,ATX Prime,atx-prime,49520,ATXPRIME,EUR
austria,FTSE Austria,FTSE Austria,ftse-austria,28856,FTWIAUTE,EUR
austria,Immobilien ATX EUR,Immobilien ATX EUR,immobilien---atx,49521,IATX,EUR
austria,New Europe Blue Chip EUR,New Europe Blue Chip EUR,ntx,49522,NTX,EUR
bahrain,Bahrain All Share,Bahrain All Share,bax,13518,BAX,BHD
bangladesh,DSE 30,Dhaka Stock Exchange 30,dhaka-stock-exchange-30,989440,DS30,BDT
bangladesh,DSE Broad,Dhaka Stock Exchange Broad,dhaka-stock-exchange-broad,989441,DSEX,BDT
belgium,BEL 20,BEL 20,bel-20,14601,BFX,EUR
